ID;TITULO;MES;AÑ;AUTORES;REVISTA;CITACIONES;REFERENCIAS
131;Mechanical Behavior of Titanium-Based Layered Structures Fabricated Using Blended Elemental Powder Metallurgy;Sep;2019;"Markovsky, PE; Savvakin, DG; (...); Prikhodko, SV";JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE;7;26
132;Heavy ion irradiations on synthetic hollandite-type materials: Ba(1.0)Cs(0.3)A(2.3)Ti(5.7)O(16) (A = Cr, Fe, Al);Jul;2016;"Tang, M; Tumurugoti, P; (...); Jiang, YB";JOURNAL OF SOLID STATE CHEMISTRY;7;32
133;Evolution of intermetallic phases in an Al -Si -Ti alloy during solution treatment;Aug5;2020;"Ma, SM; Li, N; (...); Wang, XM";JOURNAL OF ALLOYS AND COMPOUNDS;6;48
134;PRODUCTION OF Al-26, Ti-44, AND Fe-60 IN CORE-COLLAPSE SUPERNOVAE: SENSITIVITY TO THE RATES OF THE TRIPLE ALPHA AND C-12(alpha,gamma) O-16 REACTIONS;jul-20;2010;"Tur, C; Heger, A and Austin, SM";ASTROPHYSICAL JOURNAL;75;33
135;Secure Beamformer Designs in MU-MIMO Systems With Multiuser Interference Exploitation;Sep;2018;"Li, M; Ti, GY and Liu, Q";IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY;6;46
136;Fluxless Bonding of Bismuth Telluride Chips to Alumina Using Ag-In System for High Temperature Thermoelectric Devices;Sep;2011;Lin, WP and Lee, CC;IEEE TRANSACTIONS ON COMPONENTS PACKAGING AND MANUFACTURING TECHNOLOGY;11;19
137;Deep Learning-Enabled Threat Intelligence Scheme in the Internet of Things Networks;oct-01;2021;"Al-Hawawreh, M; Moustafa, N; (...); Hossain, MS";IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING;4;53
138;Mesoscopic study of thermal behavior, fluid dynamics and surface morphology during selective laser melting of Ti-based composites;May;2020;"Dai, DH; Gu, DD; (...); Li, SH";COMPUTATIONAL MATERIALS SCIENCE;17;34
139;Lightweight and Side-channel Secure 4 x 4 S-Boxes from Cellular Automata Rules;May;2018;"Ghoshal, A; Sadhukhan, R; (...); Mukhopadhyay, D";IACR TRANSACTIONS ON SYMMETRIC CRYPTOLOGY;3;47
140;Counteracting UDP Flooding Attacks in SDN;Aug;2020;"Tung, YH; Wei, HC; (...); Yu, CM";ELECTRONICS;1;37
141;Kinetic Monte Carlo simulations of excitation density dependent scintillation in CsI and CsI(TI);Aug;2013;"Wang, ZG; Williams, RT; (...); Kerisit, S";PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS;21;52
142;A Deep Learning Model for Information Loss Prevention From Multi-Page Digital Documents;Aug;2021;"Guha, A; Samanta, D; (...); Agarwal, D";IEEE ACCESS;6;52
143;Toward Tactile Internet in Beyond 5G Era: Recent Advances, Current Issues, and Future Directions;Aug;2020;"Sharma, SK; Woungang, I; (...); Chatzinotas, S";IEEE ACCESS;40;222
144;Laser pre-sintering for denudation reduction in the laser powder bed fusion additive manufacturing of Ti-6Al-4V alloy;Jun;2021;"Achee, T; Guss, G; (...); Matthews, M";ADDITIVE MANUFACTURING;1;27
145;Threat intelligence platform for the energy sector;Aug;2019;Leszczyna, R and Wrobel, MR;SOFTWARE-PRACTICE & EXPERIENCE;4;147
146;Coherent Growth of alpha-Fe2O3 in Ti and Nd Co-doped BiFeO3 Thin Films;Aug;2016;"Zhang, HR; Marincel, DM; (...); Reaney, IM";MATERIALS RESEARCH LETTERS;1;24
147;Strong 8-bit Sboxes with efficient masking in hardware extended version;Jun;2017;"Boss, E; Grosso, V; (...); Schneider, T";JOURNAL OF CRYPTOGRAPHIC ENGINEERING;7;44
148;Policy for promoting analytic rigor in intelligence: professionals' views and their psychological correlates;feb-23;2022;"Mandel, DR; Hendriks, TL and Irwin, D";INTELLIGENCE AND NATIONAL SECURITY;-;97
149;A survey on technical threat intelligence in the age of sophisticated cyber attacks;Jan;2018;Tounsi, W and Rais, H;COMPUTERS & SECURITY;111;118
150;QoS-Based Binary Signature Design for Secure CDMA Systems;Nov;2017;"Li, M; Ti, GY; (...); Liu, Q";IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY;2;46
151;Determining Relative f and d Orbital Contributions to M-Cl Covalency in MCl62- (M = Ti, Zr, Hf, U) and UOCl5- Using Cl K-Edge X-ray Absorption Spectroscopy and Time-Dependent Density Functional Theory;mar-28;2012;"Minasian, SG; Keith, JM; (...); Yang, P";JOURNAL OF THE AMERICAN CHEMICAL SOCIETY;139;100
152;Investigation and optimisation of mobile Nal(Tl) and He-3-based neutron detectors for finding point sources;jun-21;2015;"Nilsson, JMC; Finck, RR and Raaf, C";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;1;27
153;A Qualitative Evaluation of a Community Based, Culturally Relevant Intervention to Promote Healthy Food Access in American Indian Communities;Jun;2020;"Cueva, K; Lovato, V; (...); Barlow, A";JOURNAL OF COMMUNITY HEALTH;1;16
154;MAUD Rietveld Refinement Software for Neutron Diffraction Texture Studies of Single- and Dual-Phase Materials;Sep;2021;"Saville, AI; Creuziger, A; (...); Clarke, AJ";INTEGRATING MATERIALS AND MANUFACTURING INNOVATION;2;16
155;Distinguished work-hardening capacity of a Ti-based metallic glass matrix composite upon dynamic loading;nov-15;2013;"Qiao, JW; Ye, HY; (...); Wang, ZH";MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING;25;23
156;Identifying the Role of Dynamic Surface Hydroxides in the Dehydrogenation of Ti-Doped NaAlH4;feb-06;2019;"White, JL; Rowberg, AJE; (...); El Gabaly, F";ACS APPLIED MATERIALS & INTERFACES;13;60
157;Effect of Strain Rate on Microstructure Evolution and Mechanical Behavior of Titanium-Based Materials;Nov;2020;"Markovsky, PE; Janiszewski, J; (...); Prikhodko, SV";METALS;10;46
158;The occasional maverick of analytic tradecraft;Apr15;2020;Mandel, DR;INTELLIGENCE AND NATIONAL SECURITY;10;28
159;Corrosion Behavior of Ti-Based In Situ Dendrite-Reinforced Metallic Glass Matrix Composites in Various Solutions;Jun;2015;"Yang, F; Tian, HF; (...); Qiao, JW";METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;3;24
160;Microstructural characteristics of laser surface melted MoSiBTiC alloy;nov-01;2020;"Higashi, M; Ozaki, T; (...); Kawagishi, K";MATERIALS LETTERS;3;15
161;Subsurface Cooling Rates and Microstructural Response during Laser Based Metal Additive Manufacturing;feb-06;2020;"Thampy, V; Fong, AY; (...); Stone, KH";SCIENTIFIC REPORTS;24;54
162;Unraveling Chemical Interactions between Titanium and Graphene for Electrical Contact Applications;Sep;2018;"Freedy, KM; Beechem, TE; (...); McDonnell, SJ";ACS APPLIED NANO MATERIALS;2;47
163;MICROSTRUCTURE AND PROPERTIES OF TITANIUM-BASED MATERIALS PROMISING FOR ANTIBALLISTIC PROTECTION;Apr-jun;2019;"Ivasishin, OM; Markovsky, PE; (...); Antonyuk, SL";USPEKHI FIZIKI METALLOV-PROGRESS IN PHYSICS OF METALS;1;25
164;Threshold implementations of small S-boxes;Mar;2015;"Bilgin, B; Nikova, S; (...); Vitkup, V";CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES;27;47
165;Stable Positive Current Collectors for LillSb-Sn Liquid Metal Batteries;sept-27;2021;"Cui, KX; Zhao, W; (...); Qu, XH";ACS APPLIED ENERGY MATERIALS;-;60
166;Radiation tolerant ceramics for nuclear waste immobilization: Structure and stability of cesium containing hollandite of the form (Ba,Cs)(1.)(33)(Zn,Ti)(8)O-16 and (Ba,Cs)(1.33)(Ga,Ti)(8)O-16;May;2019;"Grote, R; Hong, T; (...); Brinkman, KS";JOURNAL OF NUCLEAR MATERIALS;6;55
167;Trade-Offs for Threshold Implementations Illustrated on AES;Jul;2015;"Bilgin, B; Gierlichs, B; (...); Rijmen, V";IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS;34;28
168;Analyzing the factors influencing cloud computing adoption using three stage hybrid SEM-ANN-ISM (SEANIS) approach;Sep;2018;"Raut, RD; Priyadarshinee, P; (...); Jha, MK";TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE;44;135
169;CMOS compatible metal stacks for suppression of secondary grains in Sc0.125Al0.875N;Mar;2019;"Esteves, G; Berg, M; (...); Douglas, EA";JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A;6;34
170;Performance Comparison of X- and gamma-Ray CdTe Detectors With MoOx, TiOx, and TiN Schottky Contacts;Jul;2018;"Maslyanchuk, O; Solovan, M; (...); Potiriadis, C";IEEE TRANSACTIONS ON NUCLEAR SCIENCE;9;21
171;Phase-Transition-Induced VO2 Thin Film IR Photodetector and Threshold Switching Selector for Optical Neural Network Applications;May;2021;"Zhou, X; Zhao, L; (...); Li, DD";ADVANCED ELECTRONIC MATERIALS;5;67
172;Planar Ohmic Contacts to Al0.45Ga0.55N/Al0.3Ga0.7N High Electron Mobility Transistors;May;2017;"Klein, BA; Baca, AG; (...); Abate, VM";ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY;23;26
173;Magnetic field improved photoelectrochemical synthesis of 5,5 '-azotetrazolate energetic salts and hydrogen in a hematite photoanode-based cell;Jan10;2020;"Huang, J; Liao, AZ; (...); He, HC";ELECTROCHIMICA ACTA;1;30
174;Nb and Ta layer doping effects on the interfacial energetics and electronic properties of LaAlO3/SrTiO3 heterostructure: first-principles analysis;Jan28;2016;"Nazir, S; Behtash, M; (...); Yang, KS";PHYSICAL CHEMISTRY CHEMICAL PHYSICS;20;62
175;Synthesis and characterization of a series of Group 4 phenoxy-thiol derivatives;may-28;2016;"Boyle, TJ; Neville, ML and Parkes, MV";POLYHEDRON;2;36
176;Effort-reward imbalance at work is predicted by temporal and energetic characteristics of behavior: A population-based study;may-28;2013;"Hintsa, T; Hintsanen, M; (...); Keltikangas-Jarvinen, L";INTERNATIONAL JOURNAL OF OCCUPATIONAL MEDICINE AND ENVIRONMENTAL HEALTH;3;33
177;Thallium Bromide Semiconductor Radiation Detectors With Thallium Contacts;Aug;2018;"Datta, A; Becla, P and Motakef, S";IEEE TRANSACTIONS ON NUCLEAR SCIENCE;4;13
178;Tell the Device Password: Smart Device Wi-Fi Connection Based on Audio Waves;feb-01;2019;"Liu, L; Han, ZY; (...); Ma, ZC";SENSORS;3;27
179;On Non-Completeness and G-Equivariance;Nov;2019;Baek, YJ;APPLIED SCIENCES-BASEL;-;17
180;Barrier/bonding layers on bismuth telluride (Bi2Te3) for high temperature thermoelectric modules;Sep;2011;"Lin, WP; Wesolowski, DE and Lee, CC";JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS;58;17
181;Secure and Efficient Transmission of Vision-Based Feedback Control Signals;Oct;2021;"Volden, O; Solnor, P; (...); Fossen, TI";JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS;1;42
182;Surface activated bonding of SiC/diamond for thermal management of high-output power GaN HEMTs;Apr1;2020;"Minoura, Y; Ohki, T; (...); Nakamura, N";JAPANESE JOURNAL OF APPLIED PHYSICS;11;31
183;Spatio-Temporal Analysis of Meteorological Elements in the North China District of China during 1960-2015;Jun;2018;"Ti, JS; Yang, YH; (...); Chen, F";WATER;13;71
184;Mechanical Behavior of Titanium Based Metal Matrix Composites Reinforced with TiC or TiB Particles under Quasi-Static and High Strain-Rate Compression;Nov;2021;"Markovsky, PE; Janiszewski, J; (...); Prikhodko, SV";MATERIALS;2;51
185;Structural phase stability in nanocrystalline titanium to 161 GPa;Sep;2014;"Velisavljevic, N; Jacobsen, MK and Vohra, YK";MATERIALS RESEARCH EXPRESS;7;32
186;Texture Memory in Hexagonal Metals and Its Mechanism;Oct;2021;"Tomida, T; Vogel, SC; (...); Sato, S";METALS;1;50
187;Restructuring structured analytic techniques in intelligence;Oct;2018;"Chang, W; Berdini, E; (...); Tetlock, PE";INTELLIGENCE AND NATIONAL SECURITY;26;64
188;Titanium and Iron in the Cassiopeia A Supernova Remnant;Jun;2020;"Vance, GS; Young, PA; (...); Ellinger, CI";ASTROPHYSICAL JOURNAL;6;76
189;Risky-choice framing and rational decision-making;Aug;2021;Fisher, SA and Mandel, DR;PHILOSOPHY COMPASS;-;65
190;Mobile Phone Signals Interference Cancellation With Improved WLAN Transmission and Thermal Insulation of Buildings Using FSS and RC Film;Sept;2020;"Habib, S; Kiani, GI and Butt, MFU";IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS;1;30
191;Ohmic contacts to Al-rich AlGaN heterostructures;Aug;2017;"Douglas, EA; Reza, S; (...); Baca, AG";PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE;29;30
192;Barriers and Solutions to Smart Water Grid Development;Mar;2016;"Cheong, SM; Choi, GW and Lee, HS";ENVIRONMENTAL MANAGEMENT;16;54
193;Influence of Mn doping on domain wall motion in Pb(Zr0.52Ti0.48)O-3 films;mar-15;2011;"Zhu, WL; Fujii, I; (...); Trolier-McKinstry, S";JOURNAL OF APPLIED PHYSICS;37;37
194;Electrochemical oxidation of reverse osmosis concentrate on mixed metal oxide (MMO) titanium coated electrodes;oct-15;2011;"Bagastyo, AY; Radjenovic, J; (...); Rabaey, K";WATER RESEARCH;120;39
195;Arithmetic computation with probability words and numbers;Oct;2021;"Mandel, DR; Dhami, MK; (...); Irwin, D";JOURNAL OF BEHAVIORAL DECISION MAKING;2;63
196;Fidelity of quantum strategies with applications to cryptography;sept-03;2018;"Gutoski, G; Rosmanis, A and Sikora, J";QUANTUM;8;36
197;Teff consumption and anemia in pregnant Ethiopian women: a case-control study;Aug;2019;"Mohammed, SH; Taye, H; (...); Esmaillzadeh, A";EUROPEAN JOURNAL OF NUTRITION;3;28
198;Simultaneous imaging of K-alpha radiation and coherent transition radiation from relativistic-intensity laser-irradiated solid target plasmas;Mar;2012;"Kern, J; Feldman, S; (...); Ditmire, T";HIGH ENERGY DENSITY PHYSICS;5;39
199;Synthesis and characterization of 2-hydroxy-pyridine modified Group 4 alkoxides;Mar;2016;Boyle, TJ and Sivonxay, E;JOURNAL OF COORDINATION CHEMISTRY;4;32
200;Predictive Resource Allocation for Tactile Internet Capable Passive Optical LANs;jul-01;2017;"Wong, E; Dias, MPI and Ruan, L";JOURNAL OF LIGHTWAVE TECHNOLOGY;66;37
201;Cooling dynamics of two titanium alloys during laser powder bed fusion probed with in situ X-ray imaging and diffraction;Oct;2020;"Calta, NP; Thampy, V; (...); Matthews, MJ";MATERIALS & DESIGN;11;52
202;Local structure in perovskite (Ba,Sr)TiO3: Reverse Monte Carlo refinements from multiple measurement techniques;Jan17;2014;"Levin, I; Krayzman, V and Woicik, JC";PHYSICAL REVIEW B;36;19
203;Digital pulse processing for NaI(T1) detectors;Jan11;2016;"Di Fulvio, A; Shin, TH; (...); Pozzi, SA";NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT;11;14
204;Monomial evaluation of polynomial functions protected by threshold implementations-with an illustration on AES- - Extended version;Jul;2021;"Landry, S; Linge, Y and Prouff, E";CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES;-;37
205;Solution Chemistry, Substrate, and Processing Effects on Chemical Homogeneity in Lead Zirconate Titanate Thin Films;Jul;2015;"Ihlefeld, JF; Kotula, PG; (...); Spoerke, ED";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;9;44
206;NATO AND EVIDENCE-BASED MILITARY AND DISASTER MEDICINE: CASE FOR VIGOROUS WARRIOR LIVE EXERCISE SERIES;Jul;2020;"Quinn, JM; Bencko, V; (...); Bubenik, Z";CENTRAL EUROPEAN JOURNAL OF PUBLIC HEALTH;-;40
207;Mechanisms of nonequilibrium electron-phonon coupling and thermal conductance at interfaces;mar-14;2015;"Giri, A; Gaskins, JT; (...); Hopkins, PE";JOURNAL OF APPLIED PHYSICS;47;66
208;"""Do You Wanna Breathe or Eat?"": Parent Perspectives on Child Health Consequences of Food Insecurity, Trade-Offs, and Toxic Stress";Jan;2016;"Knowles, M; Rabinowich, J; (...); Chilton, M";MATERNAL AND CHILD HEALTH JOURNAL;97;36
209;Potential phytomanagement of military polluted sites and biomass production using biofuel crop miscanthus x giganteus;Jun;2019;"Pidlisnyuk, V; Erickson, L; (...); Trogl, J";ENVIRONMENTAL POLLUTION;19;55
210;Self-updatable encryption with short public parameters and its extensions;Apr;2016;Lee, K;DESIGNS CODES AND CRYPTOGRAPHY;14;28
211;A Cryptographic Processor for Secured Satellite Networks;Jul;2011;"Mishra, R; Sarma, S; (...); Sudhakar, S";JOURNAL OF SPACECRAFT TECHNOLOGY;-;18
212;Efficient Anonymous Authenticated Key Agreement Scheme for Wireless Body Area Networks;Jul;2017;"Li, T; Zheng, YH and Zhou, T";SECURITY AND COMMUNICATION NETWORKS;4;27
213;Suitability of Transportable EDXRF for the On-site Assessment of Ancient Silver Coins and Other Silver Artifacts;May;2016;Gore, DB and Davis, G;APPLIED SPECTROSCOPY;8;14
214;Coordination Chemistry of N,N,N ',N '-Tetrakis(3,5-substituted benzyl-2-oxide)-2,2 '-(ethylenedioxy)diethanamine Modified Group 4 Metal Alkoxides;nov-05;2012;"Boyle, TJ; Yonemoto, DT; (...); Huhta, T";INORGANIC CHEMISTRY;3;33
215;Political Identity Over Personal Impact: Early US Reactions to the COVID-19 Pandemic;mar-23;2021;"Collins, RN; Mandel, DR and Schywiola, SS";FRONTIERS IN PSYCHOLOGY;7;107
216;Understanding and predicting the determinants of cloud computing adoption: A two staged hybrid SEM - Neural networks approach;Nov;2017;"Priyadarshinee, P; Raut, RD; (...); Gardas, BB";COMPUTERS IN HUMAN BEHAVIOR;87;141
217;Observation of early shell-dopant mix in OMEGA direct-drive implosions and comparisons with radiation-hydrodynamic simulations;May;2014;"Baumgaertel, JA; Bradley, PA; (...); Nagayama, T";PHYSICS OF PLASMAS;19;56
218;Advancing Gender and Peacekeeping Research;May;2014;Olsson, L and Gizelis, TI;INTERNATIONAL PEACEKEEPING;10;31
219;Light-assisted therapy for biofilm infected micro-arc oxidation TiO2 coating on bone implants;mar-01;2021;"Han, X; Zhang, GN; (...); Zhang, XY";BIOMEDICAL MATERIALS;5;39
220;Reliability Analysis of a Smart Parking Information System: The Case of Hong Kong;Jul;2021;"Ma, RQ; Lam, PTI and Leung, CK";WIRELESS PERSONAL COMMUNICATIONS;-;53
221;Production and standardization of an on-demand protactinium-233 tracer;Oct;2018;"Naperstkow, Z; Moore, K; (...); Galea, R";JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY;1;21
222;Preliminary Experiences with the Rexon UL-320-FDR: An Automated Thermoluminescent Dosimeter Reader with Removable Contact Heating Planchets and an Infrared Temperature Feedback System;Apr;2021;"Kuchta, JR; Thiesen, JH; (...); Kearfott, KJ";HEALTH PHYSICS;1;15
223;Secure Communication Based on Hyperchaotic Chen System with Time-Delay;May;2017;"Ren, HP; Bai, C; (...); Grebogi, C";INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS;23;47
224;Phase and Texture Evolution in Chemically Derived PZT Thin Films on Pt Substrates;Sep;2014;"Mhin, S; Nittala, K; (...); Jones, JL";JOURNAL OF THE AMERICAN CERAMIC SOCIETY;8;26
225;A method of generating random bits by using electronic bipolar memristor;Apr;2020;"Yang, BB; Xu, N; (...); Fang, L";CHINESE PHYSICS B;3;43
226;The role of dopant charge state on defect chemistry and grain growth of doped UO2;may-15;2018;"Cooper, MWD; Stanek, CR and Andersson, DA";ACTA MATERIALIA;29;106
227;Challenges to Quantitative Multivariate Statistical Analysis of Atomic-Resolution X-Ray Spectral;Aug;2012;"Kotula, PG; Klenov, DO and von Harrach, HS";MICROSCOPY AND MICROANALYSIS;38;32
228;Temperature evolution of the local structure in relaxor ferroelectric Ba(Ti0.7Zr0.3)O-3 studied using neutron total scattering analysis;Oct;2011;Jeong, I;SOLID STATE COMMUNICATIONS;3;21
229;Studies of x-ray localization and thickness dependence in atomic-scale elemental mapping by STEM energy-dispersive x-ray spectroscopy using single-frame scanning method;Mar;2018;"Lu, P; Moya, JM; (...); Zuo, JM";ULTRAMICROSCOPY;8;26
230;Three-dimensional atomic scale characterization of {11(2)over-bar2} twin boundaries in titanium;Apr15;2021;"Wang, SJ; Dang, K; (...); Tome, CN";ACTA MATERIALIA;5;56
231;On the Parity of Power Permutations;Apr15;2021;Comak, P and Ozbudak, F;IEEE ACCESS;-;20
232;Effect of confidence interval construction on judgment accuracy;Sep;2020;"Mandel, DR; Collins, RN; (...); Fugelsang, JA";JUDGMENT AND DECISION MAKING;-;63
233;Constructing the Partnership with Turkey on the Refugee Crisis: EU Perceptions and Expectations;nov-02;2019;Demirsu, I and Cihangir-Tetik, D;JOURNAL OF BALKAN AND NEAR EASTERN STUDIES;3;41
234;Robotic Dispersal Technique for 35 GBq of La-140 in an L-polygon Pattern;Apr;2020;"Beckman, B; Green, AR; (...); White, D";HEALTH PHYSICS;1;8
235;Hash functions from superspecial genus-2 curves using Richelot isogenies;Jan;2020;"Castryck, W; Decru, T and Smith, B";JOURNAL OF MATHEMATICAL CRYPTOLOGY;1;35
236;Coherence of probability judgments from uncertain evidence: Does ACH help?;Nov;2020;Karvetski, CW and Mandel, DR;JUDGMENT AND DECISION MAKING;3;58
237;Supported metal sulfates on Ce-TiOx as catalysts for NH3-SCR of NO: High resistances to SO2 and potassium;Apr25;2016;"Du, XS; Wang, XM; (...); Zhang, L";JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY;37;42
238;Intergenerational Teaching-learning through Meditation and Smartphone Use Skill-knowledge Transfer between South Asian Grandparent-grandchild Dyads;Jan2;2022;Pandya, SP;JOURNAL OF INTERGENERATIONAL RELATIONSHIPS;1;52
239;Collisional heating and adiabatic expansion of warm dense matter with intense relativistic electrons;jul-13;2017;Coleman, JE and Colgan, J;PHYSICAL REVIEW E;3;52
240;On the Performance of Cracking Hash Function SHA-1 Using Cloud and GPU Computing;Nov;2019;"Lin, CH; Liu, JC; (...); Chu, TP";WIRELESS PERSONAL COMMUNICATIONS;-;19
241;Strong potential impurities on the surface of a topological insulator;mar-14;2012;Black-Schaffer, AM and Balatsky, AV;PHYSICAL REVIEW B;77;22
242;Quantifying and Qualifying Alloys Based on Level of Homogenization: A U-10Mo Alloy Case Study;Jan;2020;"Wang, C; Xu, ZJ; (...); Joshi, VV";JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME;-;24
243;Comparative study of precise measurements of natural radionuclides and radiation dose using in-situ and laboratory gamma-ray spectroscopy techniques;sept-20;2018;"Hassan, NM; Kim, YJ; (...); Chae, JS";SCIENTIFIC REPORTS;8;25
244;Development of X-ray-induced afterglow characterization system;Jun;2014;"Yanagida, T; Fujimoto, Y; (...); Mori, K";APPLIED PHYSICS EXPRESS;329;24
245;Rapid bespoke laser ablation of variable period grating structures using a digital micromirror device for multi-colored surface images;jun-01;2015;"Heath, DJ; Mills, B; (...); Eason, RW";APPLIED OPTICS;14;18
246;Anthropo-entomophagy: quantitatively chemical assessment of some edible arthropods, bought from an e-shop;Mar;2021;Aydogan, Z;ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH;1;38
247;RVFV Infection in Goats by Different Routes of Inoculation;Dec;2018;"Kroeker, AL; Smid, V; (...); Weingartl, H";VIRUSES-BASEL;6;57
248;On measuring agreement with numerically bounded linguistic probability schemes: A re-analysis of data from Wintle, Fraser, Wills, Nicholson, and Fidler (2019);mar-18;2021;Mandel, DR and Irwin, D;PLOS ONE;3;33
249;Multi-geochemical background comparison and the identification of the best normalizer for the estimation of PTE contamination in agricultural soil;Oct;2021;"Agyeman, PC; John, K; (...); Vasat, R";ENVIRONMENTAL GEOCHEMISTRY AND HEALTH;1;62
250;2-(2-Hydroxy-4-methoxybenzoyl)benzoic acid derivatives of Group 4 metal alkoxides;mar-04;2014;"Boyle, TJ; Yonemoto, DT; (...); Bingham, SP";JOURNAL OF COORDINATION CHEMISTRY;-;29
251;Mechanical properties of metal dihydrides;Mar;2016;Schultz, PA and Snow, CS;MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING;17;67
252;Method for new conceptual securing water resources: a case study of the Miryang multipurpose dam in Korea;May;2016;"Choo, TH; Huh, JY; (...); Son, JK";ENVIRONMENTAL EARTH SCIENCES;1;39
253;Too soon to tell if the US intelligence community prediction market is more accurate than intelligence reports: Commentary on Stastny and Lehner (2018);May;2019;Mandel, DR;JUDGMENT AND DECISION MAKING;3;19
254;On the model uncertainties in Bayesian source reconstruction using an ensemble of weather predictions, the emission inverse modelling system FREAR v1.0, and the Lagrangian transport and dispersion model Flexpart v9.0.2;mar-08;2021;"De Meutter, P; Hoffman, I and Ungar, K";GEOSCIENTIFIC MODEL DEVELOPMENT;3;30
255;SHAPE MEMORY METAL ALLOYS IN THE CONTEXT OF TEACHING SMART MATERIALS;Aug;2016;"Yang, H; Fortier, A; (...); Lobland, HEH";JOURNAL OF MATERIALS EDUCATION;9;27
256;Parametric generation of energetic short mid-infrared pulses for dielectric laser acceleration;Dec14;2014;"Wandel, S; Xu, G; (...); Jovanovic, I";JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS;17;34
257;Reversible Hydrogen Storage by NaAlH4 Confined within a Titanium-Functionalized MOF-74(Mg) Nanoreactor;Nov;2012;"Stavila, V; Bhakta, RK; (...); Allendorf, MD";ACS NANO;117;41
258;New Techniques for SIDH-based NIKE;Jan;2020;Urbanik, D and Jao, D;JOURNAL OF MATHEMATICAL CRYPTOLOGY;2;20
259;Welfare-at-Risk and Extreme Dependency of Regional Wheat Yields: Implications of a Stochastic CGE Model;Feb;2018;"Unal, GE; Karapinar, B and Tanaka, T";JOURNAL OF AGRICULTURAL ECONOMICS;8;27
260;Synthesis, Characterization, and Nanomaterials Generated from 6,6 '-(((2-Hydroxyethyl)azanedyl)bis(methylene))bis(2,4-di-tert-butylphenol) Modified Group 4 Metal Alkoxides;sept-03;2018;"Boyle, TJ; Farrell, J; (...); Crowley, W";INORGANIC CHEMISTRY;5;61
261;A Global Empirical Model of the Ion Temperature in the Ionosphere for the International Reference Ionosphere;Aug;2021;"Truhlik, V; Bilitza, D; (...); Triskova, L";ATMOSPHERE;-;46
262;Evaluation of the Use of Sea Water as a Diluent for an Accelerated Hydrogen Peroxide Disinfectant for Inactivation of Avian Influenza Virus: A Surrogate for Infectious Salmon Anemia Virus;Mar;2021;"Guan, JW; Chan, M; (...); Rohonczy, E";APPLIED BIOSAFETY;-;21
263;Structural characterization of the coordination behavior of 4,4 '-di-methoxy,2,2 '-di-ol-benzophenone modified metal alkoxides;Dec15;2010;Boyle, TJ and Ottley, LAM;INORGANICA CHIMICA ACTA;8;47
264;Selective laser melting of MoSiBTiC alloy with plasma-spheroidized powder: Microstructure and mechanical property;Feb;2021;Higashi, M and Ozaki, T;MATERIALS CHARACTERIZATION;5;46
265;GeneSippr: A Rapid Whole-Genome Approach for the Identification and Characterization of Foodborne Pathogens such as Priority Shiga Toxigenic Escherichia coli;Apr10;2015;"Lambert, D; Carrillo, CD; (...); Blais, BW";PLOS ONE;27;37
266;Element profiling of thirty genotypes of yam bean in eastern India by using proton induced X-ray emission (PIXE);Sep;2021;"Pati, K; Behera, S; (...); Nedunchezhiyan, M";JOURNAL OF FOOD COMPOSITION AND ANALYSIS;-;51
